year,gender,team,opponent,playerNum,playerName,setsPlayed,atkPts,atkErrors,atkTotal,atkPtsPer,assists,servePts,serveErrors,recErrors,digs,blkPts,blkAst,blkErrors,BHE,totalPts,isMale
2009,Female,Lakehead,York,6,Vanessa Chorkaway,4,11,11,37,0.0,1,1,2,2,16,1,1,0,1,13,0
2009,Female,Lakehead,York,7,Jenifer Lafrance,1,1,2,2,-0.5,0,0,0,1,1,0,1,0,0,1,0
2009,Female,Lakehead,York,8,Karla Brayshaw,4,8,4,17,0.235,0,0,2,0,3,4,3,0,1,12,0
2009,Female,Lakehead,York,9,Jill Bodak,1,1,0,1,1.0,0,0,0,0,12,0,0,0,0,1,0
2009,Female,Lakehead,York,11,Ashley Baer,4,0,1,0,0.0,0,0,0,1,19,0,0,0,0,0,0
2009,Female,Lakehead,York,15,Sarah Reid,4,12,9,51,0.059,0,0,1,0,8,0,0,0,0,12,0
2009,Female,Lakehead,York,16,Sonja Wolski,4,3,4,12,-0.083,0,0,0,1,16,0,1,0,0,3,0
2009,Female,RMC,Toronto,2,Brianne Baum,3,1,0,6,0.167,11,0,0,0,7,1,0,0,0,2,0
2009,Female,RMC,Toronto,3,Glynis Rogers,1,1,3,8,-0.25,1,0,2,0,1,2,0,0,0,3,0
2009,Female,RMC,Toronto,4,Melissa McCoy,3,6,3,27,0.111,0,0,1,0,7,1,0,0,0,7,0
2009,Female,RMC,Toronto,5,Nicole Shingoose,3,1,1,12,0.0,0,0,1,0,4,0,0,0,0,1,0
2009,Female,RMC,Toronto,6,Norah Collins,1,3,0,6,0.5,0,0,1,0,2,0,0,0,0,3,0
2009,Female,RMC,Toronto,13,Kim Hymers,3,1,0,3,0.333,0,0,0,0,2,0,0,0,0,1,0
2009,Female,RMC,Toronto,8,Rebecca Fielding,3,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0
2009,Female,RMC,Toronto,10,Jennifer Wotherspoon,2,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0
2009,Female,Toronto,RMC,1,K. Mahanna,3,3,0,5,0.6,31,1,1,0,5,1,0,0,0,5,0
